country,Continent,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bolivia,A,,,,,,,,,240.0,250.0,290.0,310.0,390.0,490.0,580.0,620.0,700.0,810.0,870.0,1030.0,860.0,870.0,850.0,820.0,740.0,720.0,710.0,720.0,720.0,740.0,770.0,800.0,820.0,850.0,910.0,960.0,1000.0,980.0,990.0,960.0,930.0,920.0,970.0,1030.0,1120.0,1240.0,1490.0,1640.0,1810.0,2010.0,2280.0,2620.0,2870.0,3000.0,3080.0,3130.0
Bosnia and Herzegovina,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.0,1010.0,1320.0,1390.0,1480.0,1600.0,1760.0,2040.0,2550.0,3110.0,3440.0,3910.0,4720.0,4960.0,4930.0,4970.0,4930.0,5180.0,5170.0,5050.0,4940.0,4940.0
Botswana,AF,70.0,80.0,80.0,90.0,90.0,90.0,110.0,130.0,150.0,180.0,230.0,310.0,390.0,470.0,490.0,520.0,620.0,800.0,1000.0,1200.0,1160.0,1050.0,970.0,960.0,1040.0,1220.0,1830.0,2160.0,2540.0,2870.0,3060.0,3110.0,2770.0,3060.0,2980.0,3120.0,3030.0,2990.0,3020.0,3110.0,2800.0,3240.0,3790.0,4790.0,5300.0,5620.0,5650.0,5260.0,5570.0,6630.0,7310.0,7580.0,7350.0,6680.0,6760.0,6820.0
Brazil,A,,,,,,,,,,,,,,,,,,,,,,,1420.0,1570.0,1760.0,2030.0,2250.0,2750.0,2730.0,3270.0,3160.0,3080.0,3020.0,3750.0,4450.0,5010.0,4830.0,4110.0,3860.0,3290.0,3060.0,2940.0,3300.0,3940.0,4750.0,6030.0,7400.0,8070.0,9610.0,11000.0,12300.0,12700.0,12000.0,10100.0,8860.0,8580.0
Bulgaria,EU,,,,,,,,,,,,,,,,,,,,,2360.0,2090.0,2010.0,1950.0,2190.0,2720.0,3110.0,2830.0,2250.0,1620.0,1430.0,1250.0,1240.0,1360.0,1300.0,1320.0,1390.0,1480.0,1650.0,1760.0,1950.0,2350.0,3030.0,3770.0,4270.0,4820.0,6100.0,6750.0,6980.0,7220.0,7420.0,7610.0,7720.0,7480.0,7580.0,7760.0
Burkina Faso,AF,120.0,80.0,80.0,80.0,80.0,90.0,90.0,90.0,90.0,90.0,90.0,110.0,140.0,160.0,170.0,170.0,200.0,250.0,300.0,300.0,280.0,240.0,210.0,210.0,240.0,270.0,330.0,330.0,330.0,360.0,320.0,280.0,230.0,230.0,250.0,250.0,250.0,260.0,250.0,240.0,240.0,280.0,340.0,410.0,430.0,460.0,520.0,550.0,570.0,600.0,650.0,690.0,680.0,620.0,610.0,610.0
Burundi,AF,70.0,80.0,80.0,70.0,60.0,60.0,50.0,50.0,70.0,70.0,70.0,80.0,100.0,110.0,120.0,140.0,150.0,180.0,220.0,250.0,240.0,230.0,220.0,240.0,250.0,260.0,250.0,230.0,220.0,220.0,210.0,180.0,160.0,150.0,140.0,150.0,150.0,140.0,130.0,130.0,130.0,120.0,120.0,130.0,150.0,170.0,190.0,190.0,210.0,230.0,260.0,280.0,290.0,280.0,280.0,290.0
Cambodia,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,320.0,320.0,290.0,300.0,300.0,310.0,320.0,350.0,400.0,460.0,520.0,590.0,670.0,700.0,750.0,810.0,880.0,970.0,1020.0,1060.0,1140.0,1230.0
Cameroon,AF,,,,,,110.0,130.0,160.0,170.0,170.0,190.0,210.0,280.0,350.0,340.0,340.0,520.0,630.0,630.0,840.0,850.0,780.0,780.0,800.0,930.0,1040.0,1130.0,1080.0,950.0,890.0,900.0,940.0,900.0,850.0,750.0,730.0,720.0,720.0,680.0,650.0,640.0,740.0,920.0,1020.0,1080.0,1130.0,1260.0,1340.0,1350.0,1380.0,1390.0,1450.0,1510.0,1470.0,1400.0,1360.0
Canada,A,2340.0,2360.0,2470.0,2670.0,2920.0,3080.0,3370.0,3680.0,3970.0,4390.0,5050.0,6060.0,7190.0,7990.0,8690.0,9040.0,9700.0,10600.0,11500.0,12300.0,11800.0,12100.0,13100.0,13800.0,14500.0,16200.0,18500.0,19700.0,20500.0,20800.0,21200.0,21100.0,20700.0,20700.0,20700.0,21200.0,20800.0,21300.0,22600.0,23000.0,23500.0,25400.0,29400.0,34100.0,37800.0,41400.0,44800.0,43100.0,44400.0,47100.0,50900.0,52600.0,51900.0,47500.0,43900.0,42900.0
Chad,AF,110.0,110.0,110.0,120.0,120.0,130.0,130.0,140.0,140.0,140.0,150.0,160.0,190.0,230.0,220.0,230.0,240.0,220.0,240.0,230.0,210.0,190.0,180.0,210.0,210.0,210.0,270.0,270.0,270.0,290.0,330.0,240.0,220.0,210.0,200.0,210.0,220.0,200.0,180.0,190.0,190.0,210.0,340.0,470.0,530.0,630.0,700.0,830.0,910.0,890.0,960.0,980.0,980.0,890.0,720.0,630.0
Chile,A,610.0,660.0,700.0,700.0,780.0,790.0,810.0,850.0,900.0,1080.0,1170.0,1380.0,1680.0,1170.0,1030.0,1080.0,1380.0,1810.0,2340.0,2820.0,2300.0,1840.0,1600.0,1440.0,1480.0,1670.0,1940.0,2200.0,2350.0,2610.0,3130.0,3460.0,3750.0,4450.0,5100.0,5620.0,5520.0,5150.0,5090.0,4830.0,4560.0,4520.0,5200.0,6220.0,7350.0,8700.0,10100.0,9980.0,10800.0,12400.0,14400.0,15400.0,15100.0,14300.0,13400.0,13600.0
Colombia,A,270.0,280.0,300.0,300.0,310.0,290.0,300.0,310.0,320.0,340.0,380.0,450.0,530.0,580.0,610.0,670.0,830.0,1030.0,1220.0,1310.0,1280.0,1240.0,1240.0,1170.0,1190.0,1210.0,1260.0,1220.0,1220.0,1190.0,1280.0,1390.0,1740.0,2140.0,2470.0,2590.0,2510.0,2280.0,2320.0,2300.0,2330.0,2340.0,2580.0,2920.0,3430.0,4070.0,4660.0,5090.0,5540.0,6180.0,7140.0,7760.0,7970.0,7130.0,6350.0,5830.0
"Congo, Dem. Rep.",AF,,,,,,,,,,,,,,,,,,,,,,,950.0,350.0,260.0,230.0,260.0,250.0,240.0,290.0,610.0,,380.0,180.0,130.0,120.0,120.0,110.0,130.0,140.0,190.0,170.0,190.0,210.0,230.0,260.0,290.0,300.0,320.0,340.0,380.0,410.0,440.0,460.0,460.0,450.0
"Congo, Rep.",AF,140.0,140.0,150.0,160.0,170.0,180.0,200.0,210.0,210.0,230.0,260.0,330.0,410.0,480.0,470.0,430.0,470.0,590.0,800.0,1050.0,1180.0,1040.0,1030.0,960.0,940.0,1020.0,900.0,910.0,900.0,930.0,1030.0,770.0,660.0,420.0,450.0,570.0,560.0,480.0,550.0,610.0,650.0,670.0,750.0,930.0,1150.0,1320.0,1740.0,1840.0,2070.0,2060.0,2330.0,2430.0,2520.0,2350.0,1700.0,1360.0
